project,hours
AI for the Notre Dame Community,448.7
Responsible and Ethical AI,278.63
ASCEND Engineering,102.92
Radio Systems Course,100.76
Virtual Borders,75.75
The Qur’an and the Bible (Gabriel Reynolds),74.58
MSAN II,71.08
Sprint 2025: Lab Prep: Visualizing Success,67.08
EIH Lab Video Series,65.0
Radio Systems MVP,64.16
ASCEND MCOB,62.0
Sprint 2025 - Digital Accessibility - Whitney James,49.25
National Education Opportunities Network (NEON),46.24
Business for Humans | Sheedy Family Program,38.75
Online Pedagogy Course,38.17
3D Environments Summer Online,35.17
ACE Assessment Course Redesign,33.42
ND Elevate Updates,32.33
Videos for Eva,29.25
FCTA - Physics I,29.17
ACE Higher Powered Learning (HPL),26.0
ODL Lookbook,22.28
Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,19.5
ODL Podcast,17.58
NEON - POS 30022 (Poly Sci),16.75
C2D: Cybertraining for Chemical Data scientists,16.5
Calc I Summer Online,15.83
Travel Safety 101,15.75
Program for Inclusive Education (PIE) Video #2,15.5
MSAN Asset Spreadsheet,15.12
Gen Chem Intro Video,13.5
Ultrasound Communication Video,12.75
Borgo Laudato Si' videos,12.0
Media Studio Sessions,9.25
CIF Video,9.0
MSAN,8.0
PIE Video #3,8.0
Maximizing Mendoza,6.5
Equity XR,6.0
I CAN HELP Learning Modules,6.0
Insect Podcast Consult,5.17
Summer Online 2026,5.0
MS-ACMS Faculty Videos,5.0
Political Science SO Course,4.42
ASCEND Engineering II,3.5
AI Video Series,3.0
FCTA - Calculus I,2.75
Michael's PM Tasks,2.75
Summer Online 2025,1.5
Multimedia Writing and Rhetoric,1.25
Sprint: Interactive (Elena),1.0
XR Spanish Escape Room,1.0
Study Abroad,1.0
Sprint 2025 - VR in Global Health Training - Elizabeth Wood,1.0
ECG Videos,0.42
