project_name,Design,Development/Build,Discovery,Evaluation,Learning Design (cross-phase),Other / unsorted,Post-Production,Pre-Production,Production,Project Mgmt (cross-phase),TOTAL
AI for the Notre Dame Community,10.0,89.5,0.0,0.0,0.0,0.0,122.5,24.0,40.5,162.196,448.696
Responsible and Ethical AI,27.533,0.0,0.0,0.0,0.0,0.0,28.5,10.831,32.0,179.763,278.627
ASCEND Engineering,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.333,18.667,75.418,102.918
Radio Systems Course,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.255,100.755
Virtual Borders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,61.25,0.0,75.75
The Qur’an and the Bible (Gabriel Reynolds),0.0,0.0,0.0,0.0,0.0,2.666,0.0,0.0,44.0,27.918,74.584
MSAN II,7.25,1.0,0.0,0.0,0.0,0.0,16.0,6.833,40.0,0.0,71.083
Sprint 2025: Lab Prep: Visualizing Success,0.0,4.0,0.0,0.0,0.0,0.0,35.5,0.0,16.0,11.583,67.083
EIH Lab Video Series ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,65.0
Radio Systems MVP,0.0,0.0,0.0,1.0,0.0,0.0,40.75,9.0,4.0,9.415,64.165
ASCEND MCOB,0.0,0.0,0.0,0.0,0.0,0.0,24.5,23.75,1.0,12.75,62.0
Sprint 2025 - Digital Accessibility - Whitney James,4.0,37.75,3.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,49.25
National Education Opportunities Network (NEON),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.237,46.237
Business for Humans | Sheedy Family Program,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.5,5.25,0.0,38.75
Online Pedagogy Course  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.167,0.0,38.167
3D Environments Summer Online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,30.418,35.168
ACE Assessment Course Redesign,0.0,0.0,0.0,0.0,0.0,0.0,15.333,10.583,7.5,0.0,33.416
ND Elevate Updates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.333,0.0,32.333
Videos for Eva,0.0,0.0,0.0,0.0,0.0,0.0,19.25,0.0,10.0,0.0,29.25
FCTA - Physics I,3.5,0.0,0.0,0.0,0.0,0.0,5.0,10.667,10.0,0.0,29.167
ACE Higher Powered Learning (HPL),0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,16.0,0.0,26.0
ODL Lookbook,0.0,0.0,0.0,0.0,0.0,22.283,0.0,0.0,0.0,0.0,22.283
Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,19.5
ODL Podcast,0.0,0.0,0.0,0.0,0.0,15.833,0.0,0.0,1.75,0.0,17.583
NEON - POS 30022 (Poly Sci),10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.75,0.0,16.75
C2D: Cybertraining for Chemical Data scientists,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,16.5
Calc I Summer Online,0.0,0.0,0.0,0.0,0.0,0.0,1.667,0.0,0.0,14.167,15.834
Travel Safety 101,0.0,0.0,0.0,0.0,0.0,0.0,4.749,1.5,9.5,0.0,15.749
Program for Inclusive Education (PIE) Video #2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,15.5
MSAN Asset Spreadsheet,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,5.517,0.0,15.117
Gen Chem Intro Video ,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.5,0.0,13.5
Ultrasound Communication Video,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.75,0.0,12.75
Borgo Laudato Si' videos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0
Media Studio Sessions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,0.0,9.25
CIF Video,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,6.5,0.0,9.0
PIE Video #3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,6.0,0.0,8.0
MSAN,0.0,1.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,8.0
Maximizing Mendoza,2.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.5
I CAN HELP Learning Modules,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Equity XR ,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0
Insect Podcast Consult,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167,5.167
MS-ACMS Faculty Videos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0
Summer Online 2026,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
Political Science SO Course,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416,4.416
ASCEND Engineering II,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5
AI Video Series,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0
Michael's PM Tasks,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.0,2.75
FCTA - Calculus I,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
Summer Online 2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498,1.498
Multimedia Writing and Rhetoric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.25
Study Abroad,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sprint: Interactive (Elena) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sprint 2025 - VR in Global Health Training - Elizabeth Wood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
XR Spanish Escape Room,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ECG Videos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416,0.416
