project_gid,project_name,canonical_phase,n_tasks,n_completed,n_assignees,first_completed,last_completed,span_days,tracked_minutes,tracked_hours,total_subtasks,n_activity,n_comments,bulk_created_fraction
1208878713359040,3D Environments Summer Online,Analysis,7,7,1,2025-01-19T20:10:16.883000+00:00,2025-02-04T13:33:26.111000+00:00,16,0.0,0.0,0,0,0,0.14
1208878713359040,3D Environments Summer Online,Design,15,0,2,,,,0.0,0.0,25,0,0,0.07
1208878713359040,3D Environments Summer Online,Launch / Post-Launch,5,4,2,2025-07-30T11:26:40.945000+00:00,2026-01-02T20:00:24.156000+00:00,156,0.0,0.0,0,0,0,0.2
1208878713359040,3D Environments Summer Online,PM Time Tracking,45,45,1,2025-02-04T13:34:32.279000+00:00,2025-12-04T13:17:01.240000+00:00,303,1825.0,30.42,0,0,0,0.02
1208878713359040,3D Environments Summer Online,Post-Production / Design Development,29,6,3,2025-09-04T13:32:09.893000+00:00,2025-11-10T13:00:41.859000+00:00,67,0.0,0.0,3,0,0,0.03
1208878713359040,3D Environments Summer Online,Pre-Production,4,3,1,2025-01-24T17:48:39.442000+00:00,2025-09-11T13:29:27.866000+00:00,230,285.0,4.75,0,0,0,0.25
1208878713359040,3D Environments Summer Online,Production,1,1,1,2025-08-04T14:16:39.467000+00:00,2025-08-04T14:16:39.467000+00:00,0,0.0,0.0,0,0,0,1.0
1205095744696654,ACE Ascent Phase II,Design Leadership II,5,5,0,2023-07-19T19:39:09.228000+00:00,2023-12-19T18:44:08.628000+00:00,153,0.0,0.0,7,0,0,0.2
1205095744696654,ACE Ascent Phase II,Design Ratio and Proportion,7,7,1,2023-07-19T19:39:09.667000+00:00,2023-12-19T18:43:59.686000+00:00,153,0.0,0.0,9,0,0,0.14
1205095744696654,ACE Ascent Phase II,Post-Production Leadership II,4,4,0,2023-11-17T17:56:48.999000+00:00,2023-12-14T18:51:06.206000+00:00,27,0.0,0.0,6,0,0,0.25
1205095744696654,ACE Ascent Phase II,Post-Production Ratio and Proportion,4,4,0,2023-10-19T15:43:30.639000+00:00,2024-08-16T14:35:32.176000+00:00,302,0.0,0.0,6,0,0,0.25
1205095744696654,ACE Ascent Phase II,Pre-Production Leadership II,4,4,0,2023-10-18T19:52:40.693000+00:00,2023-10-19T16:06:05.876000+00:00,1,0.0,0.0,0,0,0,0.25
1205095744696654,ACE Ascent Phase II,Pre-Production Ratio and Proportion,4,4,0,2023-10-19T15:28:11.221000+00:00,2023-10-19T15:30:15.642000+00:00,0,0.0,0.0,0,0,0,0.25
1205095744696654,ACE Ascent Phase II,Production Leadership II,2,2,0,2023-10-18T19:52:45.689000+00:00,2023-10-18T19:52:46.322000+00:00,0,0.0,0.0,0,0,0,0.5
1205095744696654,ACE Ascent Phase II,Production Ratio and Proportion,2,2,0,2023-10-19T15:39:16.965000+00:00,2023-10-19T15:39:18.599000+00:00,0,0.0,0.0,0,0,0,0.5
1208622917750063,ACE Assessment Course Redesign,Post-Production,11,11,1,2025-02-25T19:46:56.485000+00:00,2025-04-17T20:36:53.034000+00:00,51,920.0,15.33,0,0,0,0.09
1208622917750063,ACE Assessment Course Redesign,Pre-Production,5,5,1,2025-02-04T14:42:53.344000+00:00,2025-02-18T16:10:02.832000+00:00,14,635.0,10.58,5,0,0,0.2
1208622917750063,ACE Assessment Course Redesign,Production,4,4,0,2025-02-18T16:10:35.297000+00:00,2025-02-25T19:46:13.958000+00:00,7,450.0,7.5,0,0,0,0.25
1208255134985014,AI R&D Project (Online Pedagogy used as the baseline),Untitled section,6,6,1,2024-10-10T18:49:03.964000+00:00,2025-01-08T20:29:54.033000+00:00,90,0.0,0.0,3,0,0,0.17
1208345374594366,AI Video Series - John,Untitled section,1,1,0,2025-02-03T14:29:05.191000+00:00,2025-02-03T14:29:05.191000+00:00,0,0.0,0.0,0,0,0,1.0
1208711008179173,AI Video Series - Karla,Untitled section,10,10,1,2024-12-02T19:45:30.841000+00:00,2024-12-02T19:47:31.102000+00:00,0,0.0,0.0,0,0,0,0.1
1207823530772159,AR Math Visualizer (Summer Sprint),Untitled section,2,2,1,2024-07-31T17:59:27.920000+00:00,2024-11-30T21:21:23.461000+00:00,122,0.0,0.0,0,0,0,0.5
1209213189516073,ASCEND Engineering,3B Revamp,10,10,0,2026-01-23T15:11:12.791000+00:00,2026-04-17T14:21:21.135000+00:00,84,0.0,0.0,0,0,0,0.1
1209213189516073,ASCEND Engineering,Analysis,3,3,1,2025-01-28T15:17:12.702000+00:00,2025-12-18T12:15:38.544000+00:00,324,0.0,0.0,0,0,0,0.33
1209213189516073,ASCEND Engineering,Design,10,3,3,2025-01-27T14:14:10.299000+00:00,2025-04-15T18:46:38.084000+00:00,78,0.0,0.0,0,0,0,0.1
1209213189516073,ASCEND Engineering,Design Development,5,1,2,2025-11-19T19:17:53.805000+00:00,2025-11-19T19:17:53.805000+00:00,0,0.0,0.0,0,0,0,0.2
1209213189516073,ASCEND Engineering,Media Timetracking,6,0,1,,,,400.0,6.67,0,0,0,0.17
1209213189516073,ASCEND Engineering,PM Time Tracking,49,49,1,2025-02-04T13:27:16.917000+00:00,2025-12-18T12:15:57.423000+00:00,317,4525.0,75.42,0,0,0,0.02
1209213189516073,ASCEND Engineering,Post-Production,10,9,1,2025-04-15T16:54:10.744000+00:00,2025-06-05T11:47:48.774000+00:00,51,150.0,2.5,0,0,0,0.1
1209213189516073,ASCEND Engineering,Post-Project Evaluation,4,4,1,2025-11-10T13:00:05.540000+00:00,2025-11-19T19:18:08.918000+00:00,9,0.0,0.0,0,0,0,0.25
1209213189516073,ASCEND Engineering,Pre-Production,9,2,3,2025-04-16T17:59:44.421000+00:00,2025-04-16T17:59:55.231000+00:00,0,380.0,6.33,0,0,0,0.11
1209213189516073,ASCEND Engineering,Production,5,4,2,2025-03-27T16:23:17.102000+00:00,2025-04-24T15:45:17.396000+00:00,28,720.0,12.0,0,0,0,0.2
1209213189516064,ASCEND Engineering II,Analysis,4,3,1,2025-01-24T21:39:11.648000+00:00,2025-02-10T13:10:16.988000+00:00,17,210.0,3.5,0,0,0,0.25
1209213189516064,ASCEND Engineering II,Design,10,0,2,,,,0.0,0.0,0,0,0,0.1
1209213189516064,ASCEND Engineering II,Design Development,5,0,1,,,,0.0,0.0,0,0,0,0.2
1209213189516064,ASCEND Engineering II,Post-Production,1,0,0,,,,0.0,0.0,0,0,0,1.0
1209213189516064,ASCEND Engineering II,Post-Project Evaluation,4,0,1,,,,0.0,0.0,0,0,0,0.25
1209213189516064,ASCEND Engineering II,Pre-Production,6,0,1,,,,0.0,0.0,0,0,0,0.17
1209213189516064,ASCEND Engineering II,Production,2,0,1,,,,0.0,0.0,0,0,0,0.5
1208659811898209,Ascent PDF Graphic,Untitled section,4,4,1,2024-11-04T13:58:03.794000+00:00,2024-11-06T21:01:02.955000+00:00,2,0.0,0.0,0,0,0,0.25
1208878713359035,Calc I Summer Online,Analysis,7,7,1,2025-01-19T20:18:35.105000+00:00,2025-02-10T13:09:52.680000+00:00,22,0.0,0.0,0,0,0,0.14
1208878713359035,Calc I Summer Online,Design,14,14,2,2025-05-13T14:40:47.347000+00:00,2025-05-13T14:41:46.407000+00:00,0,0.0,0.0,25,0,0,0.07
1208878713359035,Calc I Summer Online,Launch / Post-Launch,5,4,2,2025-06-29T18:31:04.514000+00:00,2025-07-09T15:57:56.759000+00:00,10,0.0,0.0,0,0,0,0.2
1208878713359035,Calc I Summer Online,PM Time Tracking,22,22,1,2025-02-04T13:28:56.664000+00:00,2025-06-29T18:32:26.817000+00:00,145,850.0,14.17,0,0,0,0.05
