project_gid,project_name,task_gid,task_name,section,canonical_phase,completed,created_at,completed_at,assignee,num_subtasks,resource_subtype,tracked_minutes,n_activity,n_comments,task_custom_fields
1208740211406775,ODL Project Estimations,1208797812803945,Multi-path XR / 360 editing,Untitled section,Untitled section,False,2024-11-19T14:56:19.830Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""80h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247792,Linear Story-based XR / 360 editing,Untitled section,Untitled section,False,2024-11-15T16:35:55.776Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""40h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247786,Non-scripted Video editing (General Max),Untitled section,Untitled section,False,2024-11-15T16:29:38.997Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""30h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247778,Testimonial Video editing (General Max),Untitled section,Untitled section,False,2024-11-15T16:28:55.349Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""30h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633274,Intro Video editing,Untitled section,Untitled section,False,2024-11-15T16:22:06.104Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""10h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633272,Lightboard Video editing,Untitled section,Untitled section,False,2024-11-15T16:21:58.577Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""4h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633270,Lecture Video editing,Untitled section,Untitled section,False,2024-11-15T16:21:52.628Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""4h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633268,Standard Screencast editing (3-5 minutes),Untitled section,Untitled section,False,2024-11-15T16:21:33.698Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""3h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247796,XR / 360 filming,Untitled section,Untitled section,False,2024-11-15T16:36:05.999Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""1h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247784,Off-Site / On-Location filming (not including travel),Untitled section,Untitled section,False,2024-11-15T16:29:29.482Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""3h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247782,Studio Testimonial filming,Untitled section,Untitled section,False,2024-11-15T16:29:23.219Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""1h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633296,Studio Intro filming,Untitled section,Untitled section,False,2024-11-15T16:28:42.427Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""1h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633294,Studio Lightboard filming,Untitled section,Untitled section,False,2024-11-15T16:28:38.110Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""1h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633292,Studio Lecture filming,Untitled section,Untitled section,False,2024-11-15T16:28:28.149Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""45m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247790,Studio Prep,Untitled section,Untitled section,False,2024-11-15T16:32:33.217Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""2h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776770247788,Location Scouting (General Max),Untitled section,Untitled section,False,2024-11-15T16:32:28.045Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""4h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208776767633290,Scripting (1 Script),Untitled section,Untitled section,False,2024-11-15T16:28:21.236Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""2h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738466,3 minute Explainer style Animation,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T14:54:18.318Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""100h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738516,3 Minute style Animation using new technique,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:17:55.710Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""120h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738511,3 Minute Explainer style Animation Reusing assets,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:14:56.767Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""43h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738483,Title Card and Lower Thirds,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T14:56:17.963Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""30h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738485,Infographic,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T14:56:30.723Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""4h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738495,Event Branding with Assets,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:07:43.469Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""35h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738499,Logo ,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:09:17.022Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""20h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738519,Poster with ODL Branding,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:19:48.274Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""4h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738523,One Spectrum X graphic,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:22:34.464Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""6h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738528,Simple compositing/VFX for one scene,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:23:42.933Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""2h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208775968738536,10 Page Look Book,Animation & Graphic Design,Animation & Graphic Design,False,2024-11-15T15:27:25.585Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""80h 00m"", ""Prod"": null, ""Post"": null, ""Pre"": null}"
1208740211406775,ODL Project Estimations,1208779146740559,Screencast,Traditional Media Totals (per 1 video),Traditional Media Totals (per 1 video),False,2024-11-15T23:44:42.929Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""4h 00m"", ""Prod"": ""0.50"", ""Post"": ""3.00"", ""Pre"": ""1.00""}"
1208740211406775,ODL Project Estimations,1208779146740561,Studio Lecture,Traditional Media Totals (per 1 video),Traditional Media Totals (per 1 video),False,2024-11-15T23:44:46.256Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""8h 30m"", ""Prod"": ""0.50"", ""Post"": ""4.00"", ""Pre"": ""4.00""}"
1208740211406775,ODL Project Estimations,1208779146740563,Lightboard,Traditional Media Totals (per 1 video),Traditional Media Totals (per 1 video),False,2024-11-15T23:44:53.765Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""8h 30m"", ""Prod"": ""0.50"", ""Post"": ""4.00"", ""Pre"": ""4.00""}"
1208740211406775,ODL Project Estimations,1208779146740565,Studio Interview (General Max),Traditional Media Totals (per 1 video),Traditional Media Totals (per 1 video),False,2024-11-15T23:45:09.621Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""34h 00m"", ""Prod"": ""1.00"", ""Post"": ""30.00"", ""Pre"": ""3.00""}"
1208740211406775,ODL Project Estimations,1208779146740567,Mini-doc (General Max),Traditional Media Totals (per 1 video),Traditional Media Totals (per 1 video),False,2024-11-15T23:45:25.927Z,,,0,default_task,0.0,0,0,"{""Estimated time"": ""70h 00m"", ""Prod"": ""40.00"", ""Post"": ""40.00"", ""Pre"": ""10.00""}"
